region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,329.23,,2.15,4.5,25.0,,252.77,,,3.6890563266346263,,629.9,,2.3,0.5,,,23.0,,,200.0,,,,,,,,162.8,48.0,10.03,140.69,,613.65
AT1,1094.9,66.5,148.2599654380148,504.3,59.29681863586961,7.148637055574662,755.9037284474093,126.90529795496064,9.098242200037685,,281.1251490055204,2812.7,121.6,68.95,33.56,0.5,5.928080808080808,38.84,0.0,1296.64,619.3,2639.2,,0.0,0.0,,185.7795503093821,47.82584584548214,294.04191728787106,,,256.07896158901707,,3044.3395965373497
AT2,48.5,0.1,12.312863292410709,77.7,7.604821427148852,2.322278060623776,675.8027121052405,40.18613984308685,7.453956240310696,,18.262247465699794,1047.0,2.6,1.21,9.41,0.02933133901405667,6.393535353535354,4.11,0.0,881.46,32.5,17.3,,0.0,0.0,,62.00833108128188,61.02235115368675,18.516854377826693,,,378.711670804732,,882.7910621942104
AT3,313.2,0.1,34.82717126957447,253.1,42.49835993698154,9.129084883801564,458.79355944735,87.40856220195252,0.6211994306993062,,18.012603528779795,1284.4,46.9,1.62,29.98,0.1,0.47838383838383836,6.12,0.0,1286.13,70.3,426.7,,0.0,0.0,,122.67211860933602,39.331803000831115,0.29122833430228917,,,178.8393676062509,,1217.06934126844
BE2,682.11,0.0,1.264894286383321,111.57,5.861382070762675,0.0,588.1180277095883,20.428680958722733,,0.0,0.1980558004064975,1502.58,1.9,0.0,0.0,24.4,,1.7,0.0,5751.3,1898.4,1659.0,,37.312547188135305,0.0,,,,0.0,,,547.5927868745939,,1409.5510408258638
BE3,1293.19,0.0,1.4251057136166791,340.3,28.77861792923733,0.0,64.00197229041171,24.301319041277264,,0.0,2.6119441995935024,1662.47,39.8,0.0,0.0,49.4,,6.1,0.0,2765.4,1396.5,3525.9,,36.687452811864695,0.0,,,,0.0,,,49.04721312540607,,1754.6089591741368
BG,3902.54,190.08,19.14,885.66,31.7,0.0,1310.31,17.78,1.99,41.95,4.41,6606.56,235.76,1320.9,0.42,0.0,0.9,14.33,0.0,309.9,231.7,0.0,510.26,0.0,0.0,0.5,276.4,1.3,281.3,0.0,0.0,101.83,0.0,6405.5599999999995
CH,557.37,0.0,16.22,200.86,10.65,1.01,176.43,57.09,0.0,0.0,0.1,1005.8,,,,,,,,,,,,,,,,,,,,,,1019.7300000000001
CY,0.0,15.34,0.0,41.37,2.04,0.0,0.0,0.0,0.0,0.0,0.0,56.82,0.0,0.0,0.0,0.0,0.24,0.93,0.0,,112.5,0.0,110.62,0.0,0.0,0.0,,,29.75,13.33,101.06,28.48,3.51,58.74999999999999
CZ,4358.1,0.0,178.1,2003.0,166.0,0.0,889.6,222.7,0.0,0.0,14.5,7832.0,1128.1,61.0,13.6,4.3,72.5,62.1,26.52,3075.89,752.5,3038.2,179.81,0.5,0.0,0.0,3001.93,,68.74,0.0,0.0,176.69,0.0,7832.000000000001
