region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,291.47,,2.25,7.3,27.3,,345.16,,,,,,,2.6,0.5,,,25.3,,,208.0,,,,,,,,184.9,70.0,13.33,155.86,,673.48
AT1,1094.84,78.62,133.25,463.07,53.35,9.49,736.95,111.58,7.49,,31.1,2719.74,123.93,64.93,48.07,0.67,9.17,45.24,5.39,1213.9,572.7,2727.33,,0.0,2.75,,879.88,334.54,217.73294089470417,0.0,0.0,108.16859938659267,,2719.74
AT2,44.0,0.04,11.4,73.68,6.69,2.87,762.27,34.9,0.22,,0.82,936.88,2.49,0.75,11.85,0.03,9.89,4.31,0.81,787.94,27.76,17.01,,0.0,0.05,,252.1,438.05,13.71140957381279,0.0,0.0,159.96906090258508,,936.89
AT3,300.23,0.08,28.97,241.22,37.85,9.95,456.77,84.04,0.19,,1.96,1161.26,44.17,1.55,36.82,0.15,0.74,8.11,5.06,1250.58,71.27,387.32,,0.0,0.52,,581.85,291.13,0.2156495314830376,0.0,0.0,75.54233971082226,,1161.26
BE2,681.9819817085483,0.0,0.9310374301260133,101.15,4.176065516929064,0.0,531.8963540185257,19.793852733088382,,0.0,0.0,1419.98,2.7,,0.0,0.0,,2.3,0.0,5591.2,1955.1,1548.6,,32.27031108163053,0.0,,,354.23763157454243,0.0,,,,,1339.9292914072175
BE3,1204.1280182914516,0.0,1.0489625698739868,270.85,20.50393448307094,0.0,57.883645981474295,23.54614726691162,,0.0,0.0,1500.22,42.8,,0.0,0.0,,5.9,0.0,2585.2,1499.7,2916.0,,31.729688918369465,0.0,,,228.96236842545764,0.0,,,,,1577.9607085927826
BG,4096.95,98.29,18.0,851.68,43.36,0.52,2056.93,30.36,8.45,55.52,5.71,7277.48,546.04,1534.63,1.72,0.0,11.11,9.73,0.78,313.55,251.2,0.0,509.73,0.0,0.0,0.88,1086.0,8.09,230.1,0.0,0.0,,0.0,7265.77
CH,529.97,,14.0,176.14,9.04,0.89,145.17,59.01,,0.4334978099089239,0.1,934.32,67.9,10.6,3.08,0.36,0.09,15.58,97.4,,421.1,1302.06,,,,,,,,,,,,934.32
CY,0.0,19.44,0.0,47.41,0.78,0.0,0.0,0.0,0.0,0.0,0.0,65.73,0.0,0.0,0.0,0.0,0.24,0.96,0.0,26.34,82.0,0.0,110.92,0.0,0.0,0.0,,,28.35,14.87,113.26,26.19,10.56,67.63
CZ,4161.55,0.0,118.23,1584.46,138.24,3.65,692.59,171.2,0.0,0.0,7.69,6877.62,1042.42,57.36,16.14,3.93,40.3,58.14,28.49,2866.52,665.18,3064.99,151.41,0.03,0.0,0.0,2825.77,,45.92,0.0,0.0,120.3,0.0,6877.61
DE1,1632.1,6.36,59.17,941.26,125.43,11.87,672.25,143.78,,,,3592.22,266.43,1.53,,,,11.31860419339973,,4874.77,185.84,1079.6,,,,,638.3932426844345,245.11811492988937,,,,320.8964585009386,,3592.22
DE2,3448.06,6.19,176.42,2006.3,126.33,19.26,1086.41,404.72,,,,7273.69,497.23,5.46,,,,29.469643426509805,,17542.71,1647.93,4253.08,,,,,2071.8428586910495,634.8633595243932,,,,107.30263869334937,,7273.69
DE4,995.7,0.41047733009768095,783.49,447.57,39.58,0.58,153.73,209.55,,,,2630.19,495.01,28.84,,,,31.02,,4405.48,284.88,402.44,,,,,451.71455302635917,610.8232204651719,,,,57.26276850362021,,2630.6104773300976
DE7,1281.84,10.541561646841883,82.82,560.48,57.77,6.62,52.63,100.26,,,,2145.17,265.65,0.6371265200823454,,,,9.50440790427415,,1755.46,171.48,965.84,,,,,113.6664780895219,258.08617247713,,,,18.850463554236963,,2152.961561646842
DE8,2465.05,,277.46,870.54,23.92,1.7,28.71,77.09,,,,3744.47,1011.68,0.25,,,,10.78,,4026.63,434.07,1296.91,,,,,182.0334554392075,419.9834618833625,,,,31.90078447640111,,3744.4700000000003
DE9,3430.17,,594.47,1269.95,41.89,4.46,888.49,459.52,,,,6688.95,524.19,0.08312040606121449,,,,9.39,,17665.55,4589.54,6172.46,,,,,186.68912083445701,1765.7980659560715,,,,154.41515759084203,,6688.95
DEA,2229.43,0.32140006509765723,92.66,1138.33,49.98,4.79,932.91,307.71,,,,4755.81,274.7,0.12,,,,13.48,,6828.32,1471.52,3705.51,,,,,74.18396834809305,742.535320456209,,,,52.201283688656474,,4755.8099999999995
DEB,814.37,19.03,68.18,450.27,26.15,4.3,79.22,101.62,,,,1563.13,176.9,1.62,,,,5.0007876582726505,,1241.64,289.85,1292.51,,,,,159.26878590609505,286.8673255076819,,,,92.77500213696695,,1563.1399999999999
DEC,67.07,0.62,20.29,24.52,7.89,1.17,1.71,15.24,,,,138.5,13.596213779812118,0.11076224488813653,,,,0.49214686822103965,,152.72,4.8,,,,,,18.327740934424,40.35033270547838,,,,2.9000713160364096,,138.51
DED,1366.19,1.52,175.9,798.15,40.86,1.57,126.76,122.68,,,,2633.62,527.39,2.62,,,,24.55,,2471.1,276.91,822.17,,,,,415.49451759979223,575.7517245342906,,,,69.60171158487523,,2633.63
DEE,2592.67,53.5,383.14,742.58,19.08,0.85,140.43,100.49,,,,4032.73,695.46,4.07,,,,37.33,,3356.84,516.82,2681.23,,,,,191.15855283609736,169.3313272505871,,,,35.51223363334673,,4032.7400000000002
DEF,1843.06,,121.28,407.03,18.34,3.5,9.475158520559594,42.56,,,,2445.6,485.76,0.05547856723429244,,,,4.1587359051006825,,5925.32,189.88,434.45,,,,,208.21900957411628,1181.4050361694708,,,,15.950392238200555,,2445.2451585205595
DEG,1487.67,21.77,61.43,665.07,19.8,1.23,38.24,70.73,,,,2365.94,456.84,2.49,,,,27.599229017996688,,1857.35,77.31,493.27,,,,,391.6877160363532,305.26653814026497,,,,42.051034082528744,,2365.94
DK,5001.06,0.0,251.74,2946.63,202.12,23.82,45.17,175.34,0.0,0.0,0.0,8645.98,579.8,0.0,0.0,0.0,0.7,33.41,275.7,5922.9,1357.8,2356.4,275.06,0.0,0.0,0.0,315.2,14150.4,0.0,0.0,0.0,31.05,,8645.880000000001
EE,327.6,0.0,25.0,254.4,54.5,7.4,0.0,9.0,0.0,0.0,0.1,678.0,131.0,0.0,0.0,0.2,0.0,12.6,0.0,28.97,110.2,0.0,49.2,0.0,0.0,0.0,908.7,1354.7,0.0,0.0,0.0,1.7,0.0,678.0
EL,446.46,1668.29,44.05,331.9,92.0,5.12,1996.64,10.06,0.13,236.88,0.02,4834.29,40.16,116.4,4.62,0.0,0.0,56.75,0.0,312.74,758.94,896.46,3334.51,0.0,0.0,218.71,37.4,1.84,1025.05,1809.81,1155.96,1394.78,21.56,4831.550000000001
ES11,46.18,0.041036217866551365,12.44,0.63,0.15,0.26,128.08,0.01,0.0,0.0,0.0,186.37,0.0,0.0,0.0,0.0,0.0,2.62,171.77,2589.25,498.65,0.5675123671714773,,0.0,0.0,0.0,0.24,4691.61,200.1215911875695,,,,,187.79103621786655
ES12,0.05,0.03637750392537778,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.8,0.7142286399937625,0.0,0.0,0.0,0.0,0.67,6.97,455.25,38.5,0.0,,0.0,0.0,0.0,0.26,155.32,0.189119644277766,,,,,0.8363775039253778
ES13,1.16,0.25066488626560185,0.12,0.27,0.07,0.0,0.85,0.02525352244702697,0.0080808822052431,0.0,0.0,2.42,0.1,0.01,0.0,0.0,0.0,0.01,0.77,69.03,2.51,0.25048426448155586,,0.0,0.0,0.0,1.47,115.2,0.11303484240580133,,,,,2.753999290917872
ES21,158.54,0.01814343724365742,0.71,80.34,38.71,0.0,1.04,0.3442136362116072,0.0,0.0,0.0,273.01,0.66,2.13,0.0,0.0,0.0,2.49,5.36,49.6,59.47,190.05,,0.0,0.0,0.0,27.2,209.47,85.82779972264777,,,,,279.70235707345523
ES22,342.22,5.78,0.06,371.2,64.17,0.0,121.23,2.01,4.68,15.23,0.02,908.93,2.08,8.7,0.19,0.0,0.0,9.06,0.0,127.58,14.16,4.06,,0.0,0.0,0.0,104.82,189.46,126.05780933926668,,,,,926.6
ES23,158.7,0.21,0.79,69.83,1.75,0.0,4.8,1.51,0.0,0.6961833008700707,0.0,232.3,0.24,2.39,0.03639671303475722,0.0,0.0,0.56,0.96,1.87,85.9,99.81,,0.0,0.0,0.0,19.26,0.62,278.42955957634274,,,,,238.28618330087008
ES24,340.39,282.25,15.2,1413.25,56.9,0.0,635.83,8.84,4.26,76.04,0.03,2785.76,4.04,16.18,0.19,0.0,0.04,81.89,18.741926520315058,13.77,8.51,1.6776099165944556,,0.0,0.0,0.0,1854.73,107.5502332931737,159.88849623622573,,,,,2832.9900000000007
ES30,52.48,0.18,4.56,97.65,21.36,0.04,78.16,1.19,0.06388065583527196,0.01746364087616787,1.19,252.75,0.24199667563795887,1.11,0.0,0.0,0.0,17.59,0.0,1.84,8.84,0.5710709838942017,,0.0,0.0,0.0,25.25,73.73,75.47406004736277,,,,,256.89134429671145
ES41,2577.37,6.18,187.85,3097.9,298.23,0.0,1002.36,11.49,0.24,0.0,1.11,7042.27,14.77,271.63,0.32,0.0,1.27,168.62,0.23,597.95,876.22,2790.23,,0.0,0.0,0.0,1606.19,3.04,172.2857464575963,,,,,7182.729999999999
ES42,558.6,9.38,52.81,2007.34,245.0,0.18207945480826143,359.52,31.84,0.38,0.84,0.74,3200.42,2.52,161.84,0.11,0.0,0.12,153.67,22.17,75.17,94.43,216.95297201235974,,0.0,0.0,0.0,219.3,3.82,2930.5581694712064,,,,,3266.6320794548083
ES43,149.8,28.11,0.69,143.42,88.56,12.9,412.58,19.98,3.73,215.47,0.01560849396889516,1067.65,0.17,15.99,0.92,0.0,0.05,11.0,0.33,46.24,44.84,32.11684314012526,,0.0,0.0,0.0,97.69,427.5,395.1177482618012,,,,,1075.2556084939688
ES51,394.69,0.92,1.97,733.01,56.84,1.390612764723946,314.83,18.6,5.95,147.49,0.82,1649.41,9.91,6.6,0.03,0.0,0.01,2.61,0.11,115.53,35.64,0.5571675567593137,,0.0,0.0,0.0,444.24,125.25,507.75285903369144,,,,,1676.510612764724
ES52,8.55,0.37,0.44,34.09,13.03,0.0,6.75,0.19894399463358053,0.06,116.02,0.01,179.4,0.01,1.0,0.015558900228598503,0.0,0.04,1.59,10.53,1.69,36.71,0.0,,0.0,0.0,0.02,21.51,0.13139565466901185,591.4403043475652,,,,,179.51894399463356
ES53,13.59,2.3090278790087924,0.03,55.87,17.99,0.0,1.57,1.72,0.01,0.21,0.02370596410593758,88.97,0.0418338705480432,0.03,0.031117800457197007,0.0,0.01,2.05,0.8608149711727021,3.76,39.54,0.0,,0.0,0.0,0.0,41.55,231.65783530373392,5.937150179845971,,,,,93.32273384311473
ES61,237.94,689.33,26.82,202.93,132.28,0.25842652714904935,241.62,50.41,17.11,343.68,12.47,1927.87,1.52,358.96,0.14,0.0,2.12,63.17,16.74,81.28,333.69,450.37,,0.0,0.0,114.83,228.54,0.77,386.0016417187472,,,,,1954.848426527149
