region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,388.4,,3.0,3.7,12.1,,284.4078189439547,,,0.0,,602.0,2.4,2.2,0.2,,,20.0,,,126.7,50.9,,,,,,,67.5,33.3,3.0,54.6,,407.2
AT1,942.2,50.4,160.6276084095585,889.6,106.6150294851513,16.44955193433309,740.7421281288866,52.756701468113306,9.087891158319719,0.0,236.57381001693292,2809.5,164.2,42.8,12.8,0.0,5.8817676767676765,95.2,,1466.0,564.7,2569.2,,,0.0,,264.3820626332297,111.77007974281594,220.4,0.0,,214.5243172192201,,2455.222701314089
AT2,47.8,2.0072203899063443,13.339985460610782,122.2,13.67338550932522,5.343736612618151,785.499205354047,16.706065207853,7.436157872974711,0.0,15.368135784777618,1044.5,12.3,0.5,10.3,0.0,6.343585858585858,12.7,,1045.6,34.1,15.5,,,0.0,,88.24378379866062,142.61061009935025,19.8,0.0,,317.257076091719,,236.4385289650911
AT3,311.6,1.017346338709355,37.73240612983068,246.1,76.41158500552346,21.00671145304876,436.71805848088667,36.3372333240337,0.5584217242957169,0.0,15.15805419828949,1154.6,29.7,0.4,10.3,0.0,0.4746464646464646,60.5,,1428.4,78.1,427.2,,,0.0,,174.5741535681098,91.9193101578338,0.22620580225493453,0.0,,149.8186066890609,,745.3633364494355
BE2,577.1,0.0,3.902833671740359,96.7,5.905376277991262,,384.2433706203922,25.210444643896604,,0.0,0.0,971.2,0.5,0.0,0.0,28.0,,3.3,,5974.9,1741.2,2370.5,,40.43873357416826,,,214.34113138379522,506.8173521704358,0.0,0.0,,459.1724847032705,,708.8186545936283
BE3,1083.0,0.0,4.397166328259643,275.3,28.99462372200874,,58.49118823087353,29.9895553561034,,0.0,0.0,1420.2,17.4,0.0,0.0,52.2,,13.2,,2422.8,899.0,4170.2,,39.761266425831735,,,637.1588686162047,327.5826478295642,0.0,0.0,,41.12751529672945,,1421.681345406372
BG,3574.8,56.52737460558276,26.9,809.8,54.4,0.6556003425990995,1727.3484641216517,26.22915251734998,6.838797233228447,11.3,72.7,6209.1,444.5,438.4,6.1,,0.0,30.4,,687.4,463.3,79.5,5.4,0.0,0.0,8.9,,,569.1,,,428.4,,4549.9
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CY,4.770076764199952,11.5,,36.0,0.3,,,1.494513236465974,,,,47.8,,,,,,,,,,,125.6,,,,,,101.0,9.0,142.5,,,47.8
CZ,3640.3,,259.4,2484.5,246.6,4.3689471773132915,625.3067276235743,79.1,,,9.6,7004.7,583.3,22.8,0.0,0.0,24.6,103.7,,8523.6,1401.7,3722.0,558.0,6.4,,,2787.7,,35.8,,,,,6719.500000000001
DE1,1439.9,4.8,80.39892369795297,1174.1,277.47839713599444,39.713683360258486,617.1506327855315,166.9300935899342,,0.0,,3607.5,145.3,11.4,,1.0282438342142937,,,,3607.8,270.2,1249.1,,,,,,67.41596703419012,274.09896816639656,0.0,,278.3118882408153,,3183.32109778414
DE2,3071.0,6.8,295.1200883586035,2575.5,331.04156850762274,64.43854604200324,1109.9415159638588,526.1789319950005,,0.0,,7634.0,343.9,26.9,,3.0430369370690533,,,,15872.4,2156.4,4601.7,,,,,,174.60940138656687,64.61562787939692,0.0,,93.06304010793774,,6870.07913490323
DE4,578.6,0.1,1130.2633399128852,484.0,109.29976433426124,1.9405169628432957,162.31082514684968,205.19008226110975,,0.0,,2545.4,201.5,22.4,,52.36687408856396,,,,3925.4,437.9,515.3,,,,,,167.9975309306547,,0.0,,49.66371178600156,,2509.3937034710993
DE7,1048.0,3.9,128.04295090140573,684.4,121.5947285503647,22.148659127625205,70.49326124353156,128.93983902880638,,0.0,,2157.0,131.1,1.4,,2.022190177151743,,,,1414.7,207.9,1023.7,,,,,,70.98263178417122,38.844428851159684,0.0,,16.34891245139439,,2137.026177608202
DE8,1798.2,0.0,500.3831079306867,1091.7,80.37330170960043,5.687722132471729,40.686571204118515,73.57566115641632,,0.0,,3858.6,624.6,1.2,,12.220462368529741,,,,3178.0,507.4,1515.0,,,,,,115.50999088473034,,0.0,,27.667390302359824,,3549.9197929291754
DE9,3067.0,0.0,1129.044646769329,1984.9,144.66120964003235,14.921906300484654,806.2404659784539,538.8096488425928,,0.0,,7364.1,203.4,0.2,,3.800083696004676,,,,10595.1,5334.4,6574.8,,,,,,485.65559602798345,,0.0,,133.92349134318852,,6879.337411552438
DEA,2268.3,0.0,174.74095209242367,1303.6,122.87866726842162,16.02599353796446,944.8645630456833,472.7275703334911,,0.0,,5243.8,132.5,0.2,,0.8549139153892349,,,,6891.5,1204.1,4204.5,,,,,,204.2229179998213,,0.0,,45.273911403861625,,4358.273183232301
DEB,618.3,2.9,95.00335138144675,668.9,63.39430731296812,14.386591276252018,91.45993236000109,116.72036690823379,,0.0,,1627.2,78.9,5.1,,1.93795456044282,,,,678.0,338.8,1187.5,,,,,,78.89844520525865,740.2565928746063,0.0,,80.46329382039414,,1579.6046168789007
DEC,50.7,0.1,24.158900585042147,42.4,20.18674264791475,3.914491114701131,2.737320346533846,15.27620531491376,,0.0,,154.2,7.8,0.2,,0.5954530860234563,,,,122.3,8.4,0.0,,,,,,11.09773833022991,1.1204869142711744,0.0,,2.515217300214482,,156.73633966257182
DED,961.1,3.1,251.49666390011086,928.5,119.95943284113557,5.252778675282714,133.87582757390192,127.86658440012283,,0.0,,2440.2,244.9,5.3,,8.890035486072092,,,,3148.3,276.3,864.6,,,,,,158.35165545469366,3.3614607428135237,0.0,,60.36521520514877,,2397.275459816652
DEE,2045.0,7.5,497.3900292172667,975.2,47.87904086449337,2.8438610662358643,140.4379336442245,105.35957093692805,,0.0,,3861.4,270.8,6.8,,28.04020238530578,,,,2459.5,561.5,2798.5,,,,,,46.571976857142644,5.602434571355873,0.0,,30.799582034392593,,3681.172502084924
DEF,1610.8,0.0,246.37014380300326,665.3,116.6699061528372,11.710016155088855,9.429984421079022,53.83748047768149,,0.0,,2589.2,314.8,0.1,,2.3922792827293065,,,,2762.1,193.3,795.9,,,,,,324.9272824866823,,0.0,,13.833695151179912,,2704.687546588611
DEG,1224.8,4.4,92.68690144984406,814.2,43.58293303435362,4.115234248788369,36.00995844464063,89.08796475476927,,0.0,,2375.5,249.6,3.9,,9.708270182503762,,,,2157.1,161.6,619.0,,,,,,83.95886561787508,,0.0,,36.47065085311068,,2272.873033487755
DK,4965.0,,453.0,3887.0,155.0,0.0,55.91189320763055,70.0,,,,9530.0,291.0,,,0.0,0.0,384.0,,1649.0,1545.0,3367.0,240.0,0.0,,,2429.3,2314.1,,,,24.8,,9530.0
EE,111.2,,71.9,311.7,114.7,41.0,,12.556230300017244,,,0.46754740424633096,650.5,9.6,,,0.1,,17.0,,,437.5,0.5,45.6,0.1,,,,,,,,21.7,,650.5
EL,620.11,1461.38,32.62,349.06,81.12,0.0,2205.85,0.0,0.27,217.38,0.99,4968.77,36.41,36.36,0.06,0.0,2.29,46.09,0.0,292.8,944.53,2823.4,,0.0,0.0,441.58,,,,,,,,4968.78
ES11,50.3,0.046242002891523956,10.429254278138274,2.6,0.1258639457654023,1.0890636340343913,153.79927154343395,0.019043196737096445,,0.0,,234.9,0.0,0.0,0.0,0.0,,7.0,,2360.3,635.9,1.4,,,,,,4713.415596578729,190.1,0.0,,97.2,,63.520403423532294
ES12,0.3,0.04099229239824461,,0.0,,,4.013298537283765,,,0.0,,4.7,27.5876265081433,0.0,0.0,0.0,,1.3,,620.6,70.0,0.0,,,,,,210.25187064745967,0.1,0.0,,56.9,,0.3409922923982446
ES13,0.8,0.28246380875527793,0.04840860583091594,1.1,0.04140065948434841,,0.7119298702860495,0.010485420482184291,0.010742091771740006,0.0,,2.9,1.0545513671548767,0.03676526860666475,0.0,0.0,,0.1,,285.0,40.4,0.6045179749670586,,28.6,,,,37.241057753436664,0.1,0.0,,3.9,,2.2935005863244666
ES21,85.3,0.02044508293166193,0.5187931817970846,90.8,19.893567855210033,,0.6755190969306203,0.14291965483037883,,0.0,,195.3,2.1,2.0,0.0,8.320993161918432,,1.7,,59.1,106.6,218.3,,,,,,152.46288354092874,81.0,0.4,,13.9,,196.67572577476915
ES22,266.8,8.6,0.22854289648652804,334.9,26.706061114664536,,147.75305350071196,0.4762713518561571,1.3546578124043502,9.7,0.018242156919292738,805.0,17.9,17.4,0.1,0.3,,6.8,,61.6,23.4,2.9,,,,,,260.83240358166694,120.8,6.0,,48.5,,648.783775332331
ES23,105.0,0.2,0.43668722614219574,107.5,0.8301045442472657,,5.843514142578164,0.7549923125157868,,0.3,,231.0,0.7,0.7,0.15923561952706286,0.3,,1.4,,4.7,191.6,206.0,,,,,,1.897261650722877,245.8,2.6,,111.8,,215.02178408290527
ES24,286.5,206.7,18.858886996974363,1273.3,25.595540784475983,,877.8018213877484,6.377892918239046,10.187970935906707,80.1,0.3329134413173097,2805.3,85.8,65.3,0.7,17.0,,61.3,,55.7,60.4,0.5,,,,,,109.4464196441669,148.0,53.4,,640.9,,1907.9532050769133
ES30,52.3,0.1,1.7708310460334502,136.2,5.273798221920518,0.09501453449146606,87.60454106584777,1.2667700599063076,0.08491793964973242,0.014768358353111051,0.2461117925746059,307.6,3.4,3.3,0.0,0.2,,4.7,,4.3,35.7,0.6,,,,,,36.633965883911564,50.3,2.8,,5.0,,197.2571974184377
ES41,1633.9,19.7,141.47330801990682,3789.8,114.93284967785479,,1108.2649265137372,8.33324393090312,1.6110497040409888,0.0,0.8634688841122891,6615.0,229.5,225.2,1.5342944301995503,9.1,,64.3,,581.0,839.9,5183.1,,,,,,50.37826340958866,110.4,12.7,,75.8,,5710.613920216818
ES42,404.3,40.5,33.92075033343577,1734.8,158.77107040816807,0.3472130417583497,283.5098677444576,16.829158679617624,1.225260052327673,1.3,0.4562388609379268,2904.4,303.1,271.5,0.4,20.7,,128.0,,113.2,241.9,821.4,,,,,,19.746341833105134,2677.0,423.1,,83.1,,2392.1024783344874
ES43,126.2,82.6,0.19156429366798405,92.2,44.50626644697136,21.561292110544166,581.8842792774301,4.722441597807054,2.4827719226851004,150.2,0.014224022450390485,1221.2,123.6,106.7,5.8,4.3,,18.6,,164.5,46.0,115.0,,,,,,329.4630443137003,348.4,351.0,,221.0,,503.11726828358184
ES51,212.9,1.1,1.9338031563610527,582.2,14.499770715827427,3.148050398207124,351.6107713328915,3.4751445803982093,6.057938458661644,137.2,1.086868049425069,1383.4,29.1,22.9,0.2,4.6,,4.6,,345.7,129.6,1.3446665155857933,,,,,,168.14259646057064,469.2,214.8,,1271.5,,960.4535249606735
