region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,420.0,,4.0,9.0,20.0,,305.1951013916856,,,0.0,,646.0,1.1,1.0,0.1,,,18.0,,,89.0,60.0,,,,,,,44.0,30.0,13.0,45.0,,453.0
AT1,865.0,52.7,270.57064316886425,814.2,93.06456818810614,18.255927964505183,671.9805879914908,0.0,8.24428125830556,0.0,0.0,2548.7,308.1,90.9,39.0,0.0,2.686161616161616,121.9,,1572.0,443.5,2190.2,,,,,,,335.53768410346794,0.0,,164.16649627574122,,2113.791139321476
AT2,36.4,12.2,22.47066044049979,131.4,11.935537834016982,5.930548810732762,664.0457619220905,0.0,6.286383343070052,0.0,0.0,883.0,34.2,0.4,30.3,0.0,2.897070707070707,8.1,,1234.9,53.3,16.6,,,,,,,21.129988853713055,0.0,,242.7835840514094,,220.33674708524953
AT3,282.4,5.9,63.5586963906359,238.8,66.69989397787687,23.313523224762058,379.86830602143993,0.0,0.48572920293624505,0.0,0.0,1004.3,71.6,0.7,35.6,0.0,0.21676767676767675,3.8,,1344.6,96.9,353.8,,,,,,,0.3323270428189779,0.0,,114.64991967284942,,680.6721135932748
BE2,485.8,0.0,5.5956289992422015,114.1,7.140598250178547,,326.00549566639535,23.10957425690522,,0.0,0.0,824.0,0.9,0.0,0.0,,,,,4859.0,1112.4,2046.3,,31.009752055004338,,,491.68823479972656,1175.8113978086405,0.0,0.0,,612.6276904645874,,635.745801506326
BE3,938.2,0.0,6.304371000757801,231.9,35.05940174982146,,52.152789506235145,27.490425743094782,,0.0,0.0,1266.3,18.3,0.0,0.0,,,,,2087.9,548.2,3346.3,,30.49024794499566,,,1461.6117652002733,759.9886021913595,0.0,0.0,,54.87230953541256,,1238.954198493674
BG,3754.3,58.8297651352492,22.3,1143.2,85.0,0.6823032990087743,1797.7043009702072,27.297480080384524,7.1173451419887295,3.0,18.0,6462.0,611.0,602.0,9.0,,,33.0,,532.0,497.0,112.0,6.0,0.0,0.0,7.0,,,423.0,,,389.0,,5025.8
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CY,16.186327429983937,8.0,,154.0,0.2,,,5.0713398944514845,,,,162.2,,,,,,,,,135.0,,109.6,,,,,,92.0,12.0,150.0,,,162.2
CZ,3713.5,,275.6,2419.3,207.6,4.227051666750559,604.9978949063468,56.1,,,13.7,6777.2,482.9,30.6,0.7,2.7,28.9,163.1,,7139.8,1231.1,3240.1,542.5,27.1,,,3219.3,,64.5,,,,,6685.799999999999
