region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,90.8,,1.6,1.6,11.1,,48.3,,,0.0,,153.3,,1.4,0.4,,,,,,10.5,0.0,,,,,,,,,,,,153.4
AT1,201.6,16.7,32.60231535938413,144.5,20.156986333967208,2.907513205340252,76.00003484343587,21.55966539311801,1.5141725338410177,0.0,24.454470069959235,518.4,33.0,24.7,7.1,0.1,8.374552309142318,32.7,0.0,27.6,17.7,37.3,,,0.34606712436499676,,77.25441185863237,25.87208110792771,42.11432224445499,,,1.6707862770448967,,540.4809852052048
AT2,10.9,0.6799023058191467,2.4749409351374303,21.9,2.4868918855968634,0.9507140263203492,55.33319130014612,5.787045618016897,0.9092292710299607,0.0,1.5777303578099926,116.4,0.9,0.5,3.2,0.15932364967963591,8.797172478793591,3.6,0.0,17.9,1.0,0.3,,,0.010519310476757289,,22.45408628560339,28.711724441745563,2.8856777555450117,,,4.411342846348925,,102.09041642884681
AT3,42.8,0.395142376011209,7.122743705478448,45.9,11.756121780435928,3.5417727683393982,41.96677385641803,13.3532889888651,0.09850571881548349,0.0,1.5677995722307756,175.0,10.2,0.5,5.1,0.8449539550106457,0.5282752120640904,11.1,0.0,26.8,2.3,5.7,,0.1,0.043413565158246015,,44.29150185576424,18.216194450326725,0.0418899633805395,,,1.3178708766061786,,168.4036430477789
BE2,64.0,0.0,0.2673144204206328,12.4,1.1784751516873386,0.0,52.55494720588634,3.2042273179981526,,0.0,0.015862546581802594,133.8,0.1,0.0,0.0,7.3,,0.7,0.0,116.0,36.9,34.4,,9.799084442858666,0.0,,0.4254098790823416,46.33272725738357,,,,15.143605831708902,,79.88740428500058
BE3,135.3,0.0,0.3326855795793672,28.4,4.3687390043787095,0.0,5.527977548856136,4.095772682001847,,0.0,0.4841374534181974,174.4,4.5,0.0,0.0,12.8,,1.9,0.0,55.3,22.4,56.8,,10.200915557141334,0.0,,1.2645901209176582,29.94727274261644,,,,1.356394168291098,,168.6125957149994
BG,817.8,23.2,9.8,270.6,37.6,0.0,414.7,11.9,3.5,5.6,13.7,1608.4,12.7,,0.0,0.2,10.5,2.4,0.0,,,0.4,,0.1,0.0,3.1,88.3,3.5,,0.0,0.0,,0.0,1608.4
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CY,0.0,7.23,0.0,65.01,0.51,0.0,0.0,1.837141988781348,0.0,0.0,0.0,72.75,0.0,0.0,0.0,0.0,0.3,0.81,0.11,0.05,5.51,0.0,3.5,0.0,0.0,0.0,3.8,3.7,12.52,12.61,4.79,8.94,0.0,72.75000000000001
CZ,648.4,0.0,41.92,550.0,77.4,0.0,85.43,46.0,0.0,0.0,10.7,1459.7,251.0,48.7,7.7,5.35,108.6,31.4,1.42,207.2,36.0,77.3,12.53,5.7,0.0,0.0,244.3,,11.83,0.0,0.0,18.39,0.0,1459.85
DE1,205.9,0.5,8.883842415205928,201.7,41.26554005549363,5.073780873970867,67.07636660897616,28.553929743630775,0.0,0.0,,554.6,70.1,0.9,,0.2,,7.2,,68.8,6.8,20.6,,,,,0.0,6.839449178628862,23.85455688909787,,,15.865091177259321,,558.9534596972774
DE2,440.7,1.4,35.01736000949747,471.1,52.05294483027019,9.464154528182394,125.45515299821035,100.33771648965758,0.0,0.0,,1211.2,165.9,4.7,,0.3,,18.6,,287.9,51.6,73.0,,,,,0.0,13.893688121473051,5.6234329573912625,,,5.305032515419684,,1235.527328855818
DE4,145.4,0.060956106517099366,164.71937214057021,82.9,27.276712472428112,1.5946168461051298,20.695334797029385,51.69752882481604,0.0,0.0,,519.1,112.3,20.4,,6.9,,46.5,,97.4,11.4,11.2,,,,,0.0,25.467165712627473,,,,2.8310659694288014,,494.344521187466
DE7,147.0,0.5,13.227901148092574,104.2,18.697827516089095,3.106396453451551,9.201042414589452,23.02210694243798,0.0,0.0,,311.1,56.3,0.1,,0.1,,7.9,,24.1,5.1,18.6,,,,,0.0,7.448367052164954,3.380591485087188,,,0.9319651716277823,,318.95527447466065
DE8,338.6,0.0,56.984748255290135,140.9,15.624351034517893,1.4289423685877136,5.3626126237756395,16.764818187659294,0.0,0.0,,589.7,227.3,0.1,,1.1,,18.8,,66.5,16.3,27.0,,,,,0.0,16.704574063992325,,,,1.577171828908555,,575.6654724698307
