region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,82.8,,1.1,1.7,13.0,,47.6,,,1.8824034334763946,,146.2,,1.2,0.3,,,14.0,,,9.1,,,,,,,,9.8,40.1,0.39,19.69,,146.2
AT1,229.9,16.8,39.70992913441574,120.2,16.172465779578342,1.92524523056314,78.28047443481421,26.803908326579144,1.5670400547949577,,27.90999301462739,536.5,42.1,24.6,11.5,0.4,12.017719132893495,17.1,0.0,30.7,18.5,37.8,,,0.34606712436499676,,77.14711406438427,20.71898803011244,42.66648780277118,,,1.7317473979641023,,557.702015920578
AT2,9.4,0.6880448484038071,3.014501518153173,16.7,1.995296977978879,0.6295268552661771,56.993506330502484,7.194705362939926,0.8943878997674442,,1.8006705170657522,114.5,0.9,0.5,3.2,0.01694932443400382,12.624191014765943,1.6,0.0,19.8,1.2,0.2,,,0.010519310476757289,,22.422900054651162,22.993043062551735,2.9235121972288245,,,4.572297247499494,,98.41625241031021
AT3,52.9,0.39987462003529534,8.675569347431095,44.7,9.43223724244278,2.3452279141706827,43.226019234683314,16.601386310480933,0.10362801619388863,,1.7893364683068635,184.1,14.0,0.8,10.6,0.1,0.758089852340559,2.9,0.0,29.9,2.5,5.8,,0.0,0.043413565158246015,,44.22998588096457,14.587968907335824,0.04243918734486213,,,1.365955354536404,,180.06965113755095
BE2,71.3,0.0,0.22276201701719403,13.5,0.9191211251001459,0.0,60.14236037889257,2.721398544053226,,0.0,0.015862546581802594,151.7,0.5,0.0,0.0,0.5,,0.4,0.0,122.46759500891315,42.4,21.7,,5.438491865786559,0.0,,1.1025415801068972,48.391824601412544,,,,15.795239779618802,,148.82150461164494
BE3,140.2,0.0,0.277237982982806,40.4,4.680878874899854,0.0,6.557639621107434,3.478601455946775,,0.0,0.4841374534181974,193.3,9.2,0.0,0.0,9.2,,1.2,0.0,57.78240499108687,31.3,41.0,,5.661508134213441,0.0,,3.2774584198931023,31.278175398587464,,,,1.4147602203812,,196.07849538835504
BG,1184.8,62.9,10.0,258.5,20.0,0.0,274.2,6.0,0.7,8.3,3.6,1829.0,108.4,683.7,0.0,0.0,0.6,2.7,0.0,23.7,,0.0,31.76,0.0,0.0,0.5,95.4,1.2,101.43,0.0,0.0,61.33,0.0,1829.0
CH,91.3,,2.5,30.3,1.9,0.2,16.7,9.3,,0.0,0.0,152.8,,,,,,,,,,,,,,,,,,,,,,152.2
CY,0.0,5.76,0.0,22.44,2.95,0.0,0.0,0.0,0.0,0.0,0.0,31.16,0.0,0.0,0.0,0.0,0.07,0.37,0.0,0.31,4.97,0.0,3.03,0.0,0.0,0.0,1.64,0.4,8.93,12.02,3.88,8.38,2.09,31.150000000000002
CZ,831.3,0.0,38.5,454.8,50.0,0.0,105.3,53.0,0.0,0.0,8.9,1541.7,354.8,25.6,6.0,2.6,97.4,29.0,1.01,166.0,28.7,52.5,9.41,0.2,0.0,0.0,180.5,,16.09,0.0,0.0,17.88,0.0,1541.8
