region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,141.0,,3.0,3.0,11.0,,80.84075327552779,,,0.0,,227.0,1.3,1.2,0.1,,,22.0,,,12.0,2.0,,,,,,,19.0,45.0,6.0,54.0,,158.0
AT1,183.4,9.5,61.88259384565565,151.4,23.9071233263332,3.5754554281886883,78.75486285549539,10.223625112707065,1.4431956963172201,0.0,0.0,494.1,103.5,28.0,5.8,0.0,6.103487276154571,15.0,,35.7,21.4,44.6,,,0.17303356218249838,,57.24337323136162,14.428660617882763,51.9,0.0,,4.6,,443.88879771288464
AT2,10.1,0.38677077277137084,4.697695945604458,30.1,2.9495694457079074,1.169121302637186,80.26035065385112,2.744225563334794,1.0560807340485452,0.0,0.0,135.2,5.3,0.4,2.8,0.0,6.4114985862393965,4.9,,23.1,1.8,0.3,,,0.005259655238378644,,16.637854213013068,16.01230786174272,3.7,0.0,,10.8,,52.14738303005572
AT3,52.9,0.22478159114410096,13.519710208739895,47.6,13.94330722795889,4.355423269174125,47.275679933949135,6.332149323958142,0.10126387894231703,0.0,0.0,179.9,22.7,0.2,5.1,0.0,0.38501413760603204,6.5,,31.9,3.8,6.7,,1.4,0.021706782579123007,,32.81877255562531,10.15903152037452,0.045241160450982656,0.0,,3.7,,138.87537162097516
BE2,72.4,0.0,1.2029148918928478,17.6,1.034011265737664,,48.50923751813873,4.125991340983923,,0.0,0.0,123.5,0.3,0.0,,3.343670457617678,,1.2538254144305048,,96.5,37.9,37.1,,5.389496443572266,0.0,,32.14487666202073,76.22911996331459,,0.0,,13.308017246047218,,96.36291749861445
BE3,136.6,0.0,1.4970851081071526,36.0,5.2659887342623355,,5.867136721865084,5.2740086590160775,,0.0,0.0,185.1,5.3,0.0,,7.6563295423823226,,3.9461745855694947,,47.7,17.9,61.6,,5.610503556427734,0.0,,95.55512333797927,49.27088003668541,,0.0,,1.1919827539527832,,184.63708250138555
BG,1181.1,21.80152012375556,14.1,396.2,35.7,0.5173007335196894,468.7463517259977,12.857952682998745,4.004225579064328,1.0,83.4,2186.8,601.0,586.0,15.0,,14.0,49.0,,64.0,56.0,9.0,211.0,0.3,0.0,12.0,212.0,,114.0,,,77.0,,1711.5
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CY,5.992333015517696,3.7,,57.0,0.2,,,1.5378961802994378,,,,60.9,,,,,,1.0,,,9.9,,2.7,,,,,,19.3,5.8,7.2,,,60.900000000000006
CZ,832.0,,79.4,560.0,60.0,2.8830513576934935,97.3477161531018,16.0,,,6.0,1580.4,272.0,19.0,1.0,,19.0,61.0,,285.0,78.0,94.0,38.0,11.0,,,267.0,,16.0,,,,,1553.4
DE1,189.84561094255807,0.7189980164281988,14.255353980446397,191.1,48.71823209300737,6.920202659911336,66.95306028325906,16.48792341739064,,0.0,,540.5,54.0,5.6,,0.4334991736049252,,5.433106555693145,,72.1,9.7,22.5,,,,,75.2352694760812,7.7189107627033495,25.10366469686033,0.0,,17.973174778761063,,468.046321109742
DE2,417.36836166198833,1.6042848140324104,56.1901977844283,455.7,61.45387759266722,12.908296390120329,122.10012440673023,57.938105199910325,,0.0,,1192.6,151.5,10.3,,1.2829194336737153,,14.145888499915609,,315.9,60.3,79.1,,,,,196.64322828746583,15.680230377262891,5.917895522601033,0.0,,6.0099419247787615,,1063.163123443147
DE4,108.0,0.06012109135933088,264.3150168086676,108.4,32.2029763133821,2.174920835972134,19.26492887161187,29.851754339419585,,0.0,,495.9,87.5,13.7,,26.5,,23.6,,115.9,16.7,14.7,,,,,61.684325366973106,28.741902217651838,0.0,0.0,,4.1,,545.0047893888009
DE7,130.40707763777885,0.6642436193377214,21.225997093515748,108.4,22.074716563477466,4.236858771374287,7.722488328203372,13.293677598214487,,0.0,,315.7,50.8,1.3,,0.8525388059702036,,4.562264039836802,,27.2,6.0,20.8,,,,,14.102037754690205,8.406127321359387,3.557611047366611,0.0,,1.0558006084070797,,300.3025712836986
DE8,273.79224299571166,,91.43991078402713,147.8,18.44616013697187,1.948955034832172,4.431919556588407,9.680525268024155,,0.0,,522.6,186.8,1.8,,5.152046782634684,,11.103598417330781,,77.6,18.3,34.4,,,,,27.384975634833662,18.852558614197505,,0.0,,1.7867394911504428,,543.107794219567
DE9,339.42151073781133,0.5824601825094032,178.176853402074,301.5,26.253210800651672,4.067384420519315,84.12944734632933,55.31457558979516,,0.0,,964.7,74.5,0.1,,1.6020841429176578,,5.544803156689743,,229.0,124.6,131.5,,,,,16.37375182211292,41.571272243365684,,0.0,,8.648679480088497,,904.7335349508514
DEA,227.36266546895482,0.10194374624701118,25.93373011351478,192.8,19.749337033104574,3.7566814439518685,96.1874176648252,47.05905403859435,,0.0,,650.8,44.2,0.2,,0.36042470034140733,,4.140894127399582,,148.8,29.9,77.0,,,,,10.486198277328546,23.248286747853612,,0.0,,2.9237555309734513,,516.6614680981204
DEB,86.82851599137389,1.0081173225520939,14.79276083071392,113.3,12.228165225429317,2.8245725142495246,10.118888515159803,12.807647740126807,,0.0,,257.9,24.6,2.5,,0.8170257603127742,,2.400456076168317,,14.7,11.1,23.1,,,,,17.8235663665546,9.321264936251298,67.7972391559064,0.0,,5.19625967920354,,243.78977962444554
DEC,7.358858959260234,0.08402465780340221,4.322772886302556,7.6,4.333155071353058,0.7626345788473717,0.3046936599677778,1.770314336711587,,0.0,,25.9,2.6,0.2,,0.25103814107372135,,0.2362381730474242,,3.0,0.3,0.0,,,,,2.3296713074664597,1.3992212406239481,0.10262106414062705,0.0,,0.16243086283185842,,26.231760490278212
DED,150.575274943525,0.3174958340460216,47.1635961464403,147.4,22.56219340504912,0.9603546548448385,15.134206654280415,15.375005800622194,,0.0,,376.4,83.1,5.4,,3.7479661032691647,,12.522678238431284,,65.6,10.1,19.4,,,,,39.2179623043966,14.8943852308191,0.3078631924218811,0.0,,3.8983407079646026,,384.3539207845275
DEE,275.8915251320496,1.6208600752870528,104.78735681976475,136.2,12.232387203508289,0.9603546548448385,15.538257085469795,13.995020395785607,,0.0,,539.7,93.7,8.6,,11.821519524143886,,22.902839056669084,,66.3,17.5,61.5,,,,,25.635128128434005,8.813459568433396,0.5131053207031351,0.0,,1.9890141039823008,,545.6875042812401
DEF,165.20342428321518,,34.9447209232067,74.8,18.88636237099044,2.0901836605446484,0.8977304583819821,5.027221020770153,,0.0,,278.6,85.4,0.0613035819142686,,1.0085653398425383,,1.996258100674183,,68.0,5.2,15.3,,,,,19.649315674537366,26.385270318974843,,0.0,,0.8933697455752214,,300.95191225872713
DEG,184.2416389786582,1.1218545691537676,14.251732426897881,122.7,10.059226190407431,0.9886003799873336,4.178551290807166,9.999175254634986,,0.0,,361.1,86.3,2.5,,4.09292714550001,,13.248060409886497,,46.8,5.4,13.5,,,,,34.134569599125584,7.367110420503157,,0.0,,2.3552475110619473,,343.36222779973957
DK,608.0,,96.0,719.0,26.0,5.0,8.738743137455604,0.0,,,,1454.0,152.0,,,0.0,5.5,74.0,,37.0,42.0,68.0,13.2,0.0,0.0,,230.0,220.0,,,,4.7,,1454.0
EE,38.6,,32.0,186.5,38.5,8.7,,5.382747862905234,,,0.9502722422326528,304.3,6.0,,,0.0,,3.7,,0.0,36.9,0.4,4.9,0.2,,,470.0,,,,,9.2,,304.3
EL,275.91,602.89,17.53,156.31,44.29,0.0,182.85,0.0,0.08,26.11,0.63,1306.6,20.77,20.74,0.03,0.0,0.62,27.93,0.0,3.2,52.48,41.89,,0.0,0.0,420.16,,,,,,,,1306.5999999999997
ES11,18.192597151770258,0.023753761816447918,5.830205738380188,2.0,0.09991013759940445,0.9886460248431476,79.63116075830031,0.008032038757003796,,0.0,,172.5,0.0,0.0,,,,4.402611762466472,,55.8,79.7,0.02769708003833025,,,,,0.17897081153088265,171.2702015966257,29.964779116202116,,,1.8411495859002331,,26.154498828323305
ES12,0.07867440764970604,0.06676442066360111,,0.0,,,1.6853938565117408,,,0.0,,2.2,1.8191287280255837,0.0,,,,1.532174990348807,,8.2,3.7,0.0,,,,,0.020995492493028695,4.191905437707907,0.10352846949840597,,,5.221592005413836,,0.14543882831330715
