,region,region name,year,symbol,label,unit,value
75,AL,Albania,1993,A_non_edible,non-edible animal production,Gg N,0.620507
76,AL,Albania,1993,Eggs,egg production,Gg N,0.23735399999999998
77,AL,Albania,1993,Milk,cows milk production,Gg N,
78,AL,Albania,1993,Meat_bovine,bovine meat production,Gg N,0.19749
79,AL,Albania,1993,Meat_sheep,sheep meat production,Gg N,0.04134
80,AL,Albania,1993,Meat_goats,goats meat production,Gg N,0.027772
81,AL,Albania,1993,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
82,AL,Albania,1993,Meat_poultry,poultry meat production,Gg N,0.098739
83,AL,Albania,1993,Agri_total,total agricultural production,Gg N,32.324685291974646
84,AL,Albania,1993,M_ingestion,monogastric ingestion,Gg N,3.5824419999999995
85,AL,Albania,1993,R_ingestion,ruminant ingestion,Gg N,77.78125800000001
86,AL,Albania,1993,total_A_ingestion,total animal ingestion,Gg N,81.3637
87,AL,Albania,1993,L_density,livestock density,LU/haUAA,0.9200945005043454
88,AL,Albania,1993,F_import,net import feed,Gg N,36.98271916860809
89,AL,Albania,1993,H_total,total crop production,Gg N,31.488232291974647
90,AL,Albania,1993,C_total,total cereal production,Gg N,11.167097968008838
91,AL,Albania,1993,PG_H,permanent grassland production,Gg N,23.763004300000002
92,AL,Albania,1993,F_ingestion,effective fodder ingestion,Gg N,17.670483973383057
93,AL,Albania,1993,total_N_input,soil N input from manure,%,23.201257046770046
94,AL,Albania,1993,NS,soil N surplus,kgN/ha,40.18871930178699
95,AL,Albania,1993,NUE,NUE arable,no unit,0.5999438770323127
96,AL,Albania,1994,H_ingestion,total human ingestion,Gg N,20.31025511843167
97,AL,Albania,1994,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.5711363
98,AL,Albania,1994,E_total,total animal excretion,Gg N,102.65494
99,AL,Albania,1994,A_non_edible,non-edible animal production,Gg N,0.620507
100,AL,Albania,1994,Eggs,egg production,Gg N,0.24487199999999998
101,AL,Albania,1994,Milk,cows milk production,Gg N,
102,AL,Albania,1994,Meat_bovine,bovine meat production,Gg N,0.19749
103,AL,Albania,1994,Meat_sheep,sheep meat production,Gg N,0.04134
104,AL,Albania,1994,Meat_goats,goats meat production,Gg N,0.027772
105,AL,Albania,1994,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
106,AL,Albania,1994,Meat_poultry,poultry meat production,Gg N,0.098739
107,AL,Albania,1994,Agri_total,total agricultural production,Gg N,32.40319781571103
108,AL,Albania,1994,M_ingestion,monogastric ingestion,Gg N,5.68617
109,AL,Albania,1994,R_ingestion,ruminant ingestion,Gg N,98.43324799999999
110,AL,Albania,1994,total_A_ingestion,total animal ingestion,Gg N,104.119418
111,AL,Albania,1994,L_density,livestock density,LU/haUAA,1.1724102599186588
112,AL,Albania,1994,F_import,net import feed,Gg N,59.812435151355075
113,AL,Albania,1994,H_total,total crop production,Gg N,31.55922681571103
114,AL,Albania,1994,C_total,total cereal production,Gg N,11.111476743824515
115,AL,Albania,1994,PG_H,permanent grassland production,Gg N,23.763004300000002
116,AL,Albania,1994,F_ingestion,effective fodder ingestion,Gg N,17.7892062548204
117,AL,Albania,1994,total_N_input,soil N input from manure,%,29.920443795753304
118,AL,Albania,1994,NS,soil N surplus,kgN/ha,42.842548344358974
119,AL,Albania,1994,NUE,NUE arable,no unit,0.5769950278617478
120,AL,Albania,1995,H_ingestion,total human ingestion,Gg N,20.490166474018054
121,AL,Albania,1995,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.620486280000001
122,AL,Albania,1995,E_total,total animal excretion,Gg N,104.19004
123,AL,Albania,1995,A_non_edible,non-edible animal production,Gg N,0.620507
124,AL,Albania,1995,Eggs,egg production,Gg N,0.24487199999999998
125,AL,Albania,1995,Milk,cows milk production,Gg N,
126,AL,Albania,1995,Meat_bovine,bovine meat production,Gg N,0.19749
127,AL,Albania,1995,Meat_sheep,sheep meat production,Gg N,0.04134
128,AL,Albania,1995,Meat_goats,goats meat production,Gg N,0.027772
129,AL,Albania,1995,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
130,AL,Albania,1995,Meat_poultry,poultry meat production,Gg N,0.098739
131,AL,Albania,1995,Agri_total,total agricultural production,Gg N,33.32003950747984
132,AL,Albania,1995,M_ingestion,monogastric ingestion,Gg N,5.87347
133,AL,Albania,1995,R_ingestion,ruminant ingestion,Gg N,99.781048
134,AL,Albania,1995,total_A_ingestion,total animal ingestion,Gg N,105.654518
135,AL,Albania,1995,L_density,livestock density,LU/haUAA,1.1980584852867247
136,AL,Albania,1995,F_import,net import feed,Gg N,60.74555798929091
137,AL,Albania,1995,H_total,total crop production,Gg N,32.47606850747984
138,AL,Albania,1995,C_total,total cereal production,Gg N,11.069095682615298
139,AL,Albania,1995,PG_H,permanent grassland production,Gg N,23.763004300000002
140,AL,Albania,1995,F_ingestion,effective fodder ingestion,Gg N,18.507589448093785
141,AL,Albania,1995,total_N_input,soil N input from manure,%,31.20217880585531
142,AL,Albania,1995,NS,soil N surplus,kgN/ha,38.80101656543038
143,AL,Albania,1995,NUE,NUE arable,no unit,0.6073885034452484
144,AL,Albania,1996,H_ingestion,total human ingestion,Gg N,20.705636275331003
145,AL,Albania,1996,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.67959
146,AL,Albania,1996,E_total,total animal excretion,Gg N,94.98828
147,AL,Albania,1996,A_non_edible,non-edible animal production,Gg N,0.620507
148,AL,Albania,1996,Eggs,egg production,Gg N,0.269753
149,AL,Albania,1996,Milk,cows milk production,Gg N,
150,AL,Albania,1996,Meat_bovine,bovine meat production,Gg N,0.19749
151,AL,Albania,1996,Meat_sheep,sheep meat production,Gg N,0.04134
152,AL,Albania,1996,Meat_goats,goats meat production,Gg N,0.027772
153,AL,Albania,1996,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
154,AL,Albania,1996,Meat_poultry,poultry meat production,Gg N,0.098739
155,AL,Albania,1996,Agri_total,total agricultural production,Gg N,32.691275424627655
156,AL,Albania,1996,M_ingestion,monogastric ingestion,Gg N,6.091590999999999
157,AL,Albania,1996,R_ingestion,ruminant ingestion,Gg N,90.386048
158,AL,Albania,1996,total_A_ingestion,total animal ingestion,Gg N,96.477639
159,AL,Albania,1996,L_density,livestock density,LU/haUAA,1.0955608773614205
160,AL,Albania,1996,F_import,net import feed,Gg N,52.303216322632025
