ID;dairycows;othercattle;pigs;layinghens;broilers;sheep;goats;turkey;otherpoultry
SI;104;46;8.0;0.24;0.15;7.1;6.3;0.5;0.9
ES11;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES12;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES13;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES21;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES22;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES23;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES24;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES30;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES41;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES42;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES43;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES51;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES52;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES53;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES61;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
ES62;130;60;9.3;0.86;0.84;6.9;8.1;3.7;0.9
SE1;140;73;11.1;0.86;0.80;7.3;6.6;3.4;0.9
SE2;140;73;11.1;0.86;0.80;7.3;6.6;3.4;0.9
SE3;140;73;11.1;0.86;0.80;7.3;6.6;3.4;0.9
CH;111;52;9.9;0.74;0.73;8;6.6;2.9;0.9
UKC;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKD;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKE;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKF;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKG;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKH;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKI;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKJ;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKK;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKL;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKM;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
UKN;135;54;11.2;0.74;0.79;7.9;6.6;3.9;1.1
BE1;113;46;11.1;0.65;0.26;7.6;10.7;1.5;0.9
